sample,lcn2,day,cage
F2D8,99.58569981,8,F2
M1D8,114.7702598,8,M1
F1D11,28.80509238,11,F1
F2D11,482.3157341,11,F2
M1D11,389.2345267,11,M1
M2D11,391.2231026,11,M2
F1D12,1576.584538,12,F1
F2D12,6955.248682,12,F2
M1D12,24037.84959,12,M1
M2D12,3862.586128,12,M2
F1D13,48231.57341,13,F1
F2D13,25401.43841,13,F2
M1D13,59926.3522,13,M1
M2D13,27209.01218,13,M2
F1D14,90530.28543,14,F1
F2D14,330512.903,14,F2
M1D14,218629.5229,14,M1
M2D14,946808.9185,14,M2
F1D15,312056.5928,15,F1
F2D15,316299.4232,15,F2
M1D15,805708.4468,15,M1
M2D15,137828.3722,15,M2
F1D18,18035.18759,18,F1
F2D18,395722.3015,18,F2
M1D18,887231.897,18,M1
M2D18,171172.2803,18,M2
F1D20,313421.2225,20,F1
F2D20,251484.1188,20,F2
M1D20,1405467.69,20,M1
M2D20,372232.9463,20,M2
F1D22,4804.764505,22,F1
F2D22,63155.75804,22,F2
M1D22,340662.8543,22,M1
M2D22,194058.382,22,M2
F1D26,44368.95223,26,F1
F2D26,44108.71865,26,F2
M1D26,391107.3437,26,M1
M2D26,143150.2154,26,M2
F1D29,389.9794541,29,F1
F2D29,6476.366547,29,F2
M1D29,354461.9816,29,M1
M2D29,166329.7105,29,M2
F1D33,100579.8519,33,F1
F2D33,7642.593714,33,F2
M1D33,407985.9666,33,M1
M2D33,297276.2961,33,M2
