	simpson_e
F1Epos1	0.30349792712225854
F1Epos10	0.10613958847428459
F1Epos11	0.02350817843549908
F1Epos12	0.02924413343231644
F1Epos13	0.24257543267438086
F1Epos2	0.15087999618699757
F1Epos3	0.23895267648006382
F1Epos4	0.1672113451089192
F1Epos5	0.2116909238164834
F1Epos6	0.11677416021575536
F1Epos7	0.05887381972482066
F1Epos8	0.234653689813708
F1Epos9	0.060006724729037356
F2Epos1	0.45351658475026646
F2Epos10	0.2181506800888012
F2Epos11	0.1853484505978062
F2Epos12	0.08765733426912733
F2Epos13	0.22873460520393446
F2Epos2	0.16926790506205697
F2Epos3	0.15582335282952084
F2Epos4	0.22512710595436963
F2Epos5	0.5861545171031952
F2Epos6	0.1888717820460079
F2Epos7	0.24426515095867316
F2Epos8	0.3980861415018782
F2Epos9	0.20355251069287464
M1Epos1	0.17851684495356807
M1Epos10	0.2679774749680728
M1Epos11	0.0787008320775191
M1Epos12	0.06370785543378843
M1Epos13	0.2686289631185662
M1Epos2	0.4469022209865081
M1Epos3	0.12218129663407798
M1Epos4	0.1776337348341361
M1Epos5	0.1998874238326806
M1Epos6	0.16261184052604213
M1Epos7	0.10992122332226695
M1Epos8	0.16919959243626634
M1Epos9	0.109189000412119
M2Epos1	0.0925222943824062
M2Epos10	0.05945445707862234
M2Epos11	0.01790727371769882
M2Epos12	0.12800793616516198
M2Epos13	0.027208001955572197
M2Epos2	0.13331994486071028
M2Epos3	0.26703735448257215
M2Epos4	0.05337149243279947
M2Epos5	0.09901036063863025
M2Epos6	0.08446525552113499
M2Epos7	0.05153708661329921
M2Epos8	0.0675513408824588
M2Epos9	0.023225583844190465
